match_id,time_sec,team_id,is_winner,P1_hp,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_kill,P1_medkit,P1_firstaid,P1_painkiller,P1_drink,P1_adrenaline,P1_grenade,P1_flash,P1_molotov,P1_dX,P1_dY,P1_z_norm,P2_hp,P2_groggy,P2_medkit,P2_firstaid,P2_painkiller,P2_drink,P2_adrenaline,P2_smoke,P2_grenade,P2_flash,P2_molotov,P2_helm,P2_vest,P2_kill,P2_dX,P2_dY,P2_z_norm,P3_hp,P3_groggy,P3_medkit,P3_firstaid,P3_painkiller,P3_drink,P3_adrenaline,P3_smoke,P3_grenade,P3_flash,P3_molotov,P3_helm,P3_vest,P3_kill,P3_dX,P3_dY,P3_z_norm,P4_hp,P4_groggy,P4_medkit,P4_firstaid,P4_painkiller,P4_drink,P4_adrenaline,P4_smoke,P4_grenade,P4_flash,P4_molotov,P4_helm,P4_vest,P4_kill,P4_dX,P4_dY,P4_z_norm,num_alive,total_health
vikendi1st.jsonl,1397,18,1,43.6,0,2,2,2,2,0,3,1,2,0,3,0,0,-9218.59,2816.41,-0.26,45.6,0,0,2,0,3,0,0,4,2,1,2,2,1,-9431.88,2352.84,-0.26,100.0,0,1,3,1,5,0,0,2,0,0,2,3,0,-11619.53,4323.62,-0.47,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,189.2
vikendi1st.jsonl,1397,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.0,0,0,5,1,3,0,7,8,6,2,2,2,6,16204.66,3725.19,-0.06,1,88.0
vikendi1st.jsonl,1397,25,0,83.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-13889.31,-11181.88,-1.11,97.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-15707.59,-3570.94,-1.44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,180.0
vikendi1st.jsonl,1398,0,0,1600.0,0,0,0,0,2,0,0,0,0,0,0,0,0,146942.56,322834.09,-0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1600.0
vikendi1st.jsonl,1398,11,0,21.63,0,2,2,3,2,0,6,0,7,0,3,1,3,8750.66,16254.84,1.91,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,79.0,0,0,5,0,1,0,6,7,3,2,2,3,2,1433.62,12869.59,1.35,2,100.63
vikendi1st.jsonl,1398,18,1,43.6,0,2,2,2,2,0,2,1,2,0,3,0,0,-9218.59,2816.41,-0.08,45.6,0,0,1,0,3,0,0,4,2,1,2,2,1,-9431.88,2352.84,-0.08,59.75,0,1,3,1,5,0,0,2,0,0,2,3,0,-10523.59,2449.03,-0.22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,148.95
vikendi1st.jsonl,1398,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,94.0,0,0,5,1,3,0,7,8,6,2,2,2,6,15057.5,4275.34,-0.06,1,94.0
vikendi1st.jsonl,1398,25,0,86.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-15057.94,-7294.16,-1.29,97.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-15707.59,-3570.94,-1.32,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,183.0
vikendi1st.jsonl,1399,0,0,1232.13,0,0,0,0,2,0,0,0,0,0,0,0,0,192919.56,19556.97,-0.74,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1232.13
vikendi1st.jsonl,1399,11,0,21.63,0,2,2,3,2,0,6,0,7,0,3,1,3,8750.66,16254.84,1.92,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,79.0,0,0,5,0,1,0,6,7,3,2,2,3,2,1433.62,12869.59,1.38,2,100.63
vikendi1st.jsonl,1399,18,1,43.6,0,2,2,2,2,0,2,1,2,0,3,0,0,-9218.59,2816.41,-0.01,45.6,0,0,1,0,3,0,0,4,2,1,2,2,1,-9431.88,2352.84,-0.01,59.75,0,1,3,1,5,0,0,2,0,0,2,3,0,-10523.59,2449.03,-0.15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,148.95
vikendi1st.jsonl,1399,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,94.0,0,0,5,1,3,0,7,8,6,2,2,2,6,15057.5,4275.34,0.01,1,94.0
vikendi1st.jsonl,1399,25,0,86.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-15057.94,-7294.16,-1.19,97.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-15707.59,-3570.94,-1.21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,183.0
