filename,filepath,total_players,ai_count,ai_ratio
20251107_051019_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_051019_squad_Baltic_Main.jsonl,100,92,0.92
20251105_110359_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251105_110359_squad_Baltic_Main.jsonl,100,92,0.92
20251108_214715_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251108_214715_squad_Baltic_Main.jsonl,100,92,0.92
20251111_062133_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_062133_squad_Baltic_Main.jsonl,100,92,0.92
20251116_094625_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251116_094625_squad_Tiger_Main.jsonl,93,40,0.43010752688172044
20251112_141329_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_141329_squad_Baltic_Main.jsonl,100,90,0.9
20251112_141841_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_141841_squad_Baltic_Main.jsonl,98,92,0.9387755102040817
20251111_191403_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_191403_squad_Baltic_Main.jsonl,100,92,0.92
20251110_105647_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_105647_squad_Baltic_Main.jsonl,100,40,0.4
20251108_062637_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251108_062637_squad_Baltic_Main.jsonl,96,61,0.6354166666666666
20251114_131158_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_131158_squad_Baltic_Main.jsonl,100,92,0.92
20251113_140020_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251113_140020_squad_Baltic_Main.jsonl,100,92,0.92
20251114_135741_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_135741_squad_Baltic_Main.jsonl,100,92,0.92
20251110_134316_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_134316_squad_Baltic_Main.jsonl,99,92,0.9292929292929293
20251112_120859_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_120859_squad_Baltic_Main.jsonl,100,92,0.92
20251112_142700_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_142700_squad_Baltic_Main.jsonl,100,92,0.92
20251111_225928_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_225928_squad_Baltic_Main.jsonl,100,97,0.97
20251110_134256_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_134256_squad_Baltic_Main.jsonl,100,92,0.92
20251107_232338_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_232338_squad_Tiger_Main.jsonl,100,99,0.99
20251115_071852_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_071852_squad_Baltic_Main.jsonl,100,92,0.92
20251110_185319_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_185319_squad_Baltic_Main.jsonl,99,90,0.9090909090909091
20251109_130614_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251109_130614_squad_Baltic_Main.jsonl,100,91,0.91
20251115_163656_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_163656_squad_Baltic_Main.jsonl,100,92,0.92
20251114_144810_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_144810_squad_Baltic_Main.jsonl,100,92,0.92
20251112_024439_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_024439_squad_Baltic_Main.jsonl,100,91,0.91
20251113_154011_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251113_154011_squad_Baltic_Main.jsonl,100,91,0.91
20251110_131027_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_131027_squad_Baltic_Main.jsonl,99,41,0.41414141414141414
20251109_135418_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251109_135418_squad_Baltic_Main.jsonl,100,42,0.42
20251114_144258_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_144258_squad_Baltic_Main.jsonl,100,92,0.92
20251114_080439_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_080439_squad_Baltic_Main.jsonl,100,92,0.92
20251110_111238_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_111238_squad_Baltic_Main.jsonl,100,41,0.41
20251110_070917_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_070917_squad_Baltic_Main.jsonl,96,44,0.4583333333333333
20251116_074214_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251116_074214_squad_Baltic_Main.jsonl,100,92,0.92
20251108_162502_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251108_162502_squad_Baltic_Main.jsonl,100,92,0.92
20251112_063843_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_063843_squad_Baltic_Main.jsonl,100,92,0.92
20251107_144350_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_144350_squad_Baltic_Main.jsonl,100,91,0.91
20251111_023846_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_023846_squad_Baltic_Main.jsonl,100,91,0.91
20251106_152931_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_152931_squad_Baltic_Main.jsonl,100,89,0.89
20251112_105511_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_105511_squad_Baltic_Main.jsonl,99,42,0.42424242424242425
20251109_165817_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251109_165817_squad_Baltic_Main.jsonl,98,40,0.40816326530612246
20251115_135503_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_135503_squad_Baltic_Main.jsonl,100,91,0.91
20251105_225032_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251105_225032_squad_Baltic_Main.jsonl,100,92,0.92
20251106_115607_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_115607_squad_Baltic_Main.jsonl,100,91,0.91
20251110_031658_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_031658_squad_Baltic_Main.jsonl,100,92,0.92
20251106_040641_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_040641_squad_Baltic_Main.jsonl,97,42,0.4329896907216495
20251111_131033_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_131033_squad_Tiger_Main.jsonl,100,42,0.42
20251104_234050_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251104_234050_squad_Baltic_Main.jsonl,100,92,0.92
20251106_031627_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_031627_squad_Baltic_Main.jsonl,100,92,0.92
