time_sec,team_id,P1_health,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_nade,P1_kill,P1_veh,P1_rel_x,P1_rel_y,P1_z,P2_health,P2_groggy,P2_helm,P2_vest,P2_smoke,P2_nade,P2_kill,P2_veh,P2_rel_x,P2_rel_y,P2_z,P3_health,P3_groggy,P3_helm,P3_vest,P3_smoke,P3_nade,P3_kill,P3_veh,P3_rel_x,P3_rel_y,P3_z,P4_health,P4_groggy,P4_helm,P4_vest,P4_smoke,P4_nade,P4_kill,P4_veh,P4_rel_x,P4_rel_y,P4_z,num_alive,total_health
1324,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,2,3,4,6,3,0,8565.06,-17486.91,-0.47,100.0,0,2,2,1,0,0,0,16559.0,683.62,0.26,2,103.0
1324,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1325,1,100.0,0,2,3,5,1,0,0,12710.25,-1340.03,0.15,100.0,0,2,2,5,3,1,0,10692.94,-3329.78,0.04,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.88,-2103.44,0.18,3,300.0
1325,20,86.62,0,2,3,5,4,5,0,-2967.25,15350.41,-1.46,100.0,0,3,3,5,7,4,0,2483.25,13850.19,0.09,93.71,0,2,3,11,4,4,0,-1767.25,14519.47,-1.13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,280.33
1325,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,2,3,4,6,3,0,8565.06,-17486.91,-0.44,100.0,0,2,2,1,0,0,0,16559.0,683.62,0.27,2,103.0
1325,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1326,1,100.0,0,2,3,5,1,0,0,12710.25,-1340.03,0.09,100.0,0,2,2,5,3,1,0,10692.94,-3329.78,-0.01,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.88,-2103.44,0.12,3,300.0
1326,20,86.62,0,2,3,5,4,5,0,-2967.25,15350.41,-1.44,100.0,0,3,3,5,7,4,0,2483.25,13850.19,0.04,93.71,0,2,3,11,4,4,0,-1767.25,14519.47,-1.13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,280.33
1326,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,2,1,0,0,0,16559.0,683.62,0.2,1,100.0
1326,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1327,1,100.0,0,2,3,5,1,0,0,12710.25,-1340.03,0.09,100.0,0,2,2,5,3,1,0,10692.94,-3329.78,-0.01,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.88,-2103.44,0.12,3,300.0
1327,20,86.62,0,2,3,5,4,5,0,-2967.25,15350.41,-1.44,100.0,0,3,3,5,7,4,0,2483.25,13850.19,0.04,93.71,0,2,3,11,4,4,0,-1767.25,14519.47,-1.13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,280.33
1327,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,2,1,0,0,0,16559.0,683.62,0.2,1,100.0
1327,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1328,1,100.0,0,2,3,5,1,0,0,12710.25,-1340.03,0.11,100.0,0,2,2,5,3,1,0,10692.94,-3329.78,0.01,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.88,-2103.44,0.14,3,300.0
1328,20,90.62,0,2,3,5,4,5,0,-3355.94,15577.06,-1.55,100.0,0,3,3,5,7,4,0,2483.25,13850.19,0.06,93.71,0,2,3,11,4,4,0,-1767.25,14519.47,-1.08,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,284.33
1328,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,2,1,0,0,0,16559.0,683.62,0.22,1,100.0
1328,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1329,1,100.0,0,2,3,5,1,0,0,12710.25,-1340.03,0.11,100.0,0,2,2,5,3,1,0,10682.56,-3329.59,0.01,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.88,-2103.44,0.14,3,300.0
1329,20,90.62,0,2,3,5,4,5,0,-3355.94,15577.06,-1.54,100.0,0,3,3,5,7,4,0,2483.25,13850.19,0.06,93.71,0,2,3,11,4,4,0,-1767.25,14519.47,-1.08,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,284.33
1329,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,2,1,0,0,0,16559.0,683.62,0.22,1,100.0
1329,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1330,1,100.0,0,2,3,5,1,0,0,12710.25,-1340.03,0.11,100.0,0,2,2,5,3,1,0,10682.56,-3329.59,0.01,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.88,-2103.44,0.14,3,300.0
1330,20,90.62,0,2,3,5,4,5,0,-3355.94,15577.06,-1.54,100.0,0,3,3,5,7,4,0,2483.25,13850.19,0.06,93.71,0,2,3,11,4,4,0,-1767.25,14519.47,-1.07,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,284.33
1330,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,2,1,0,0,0,16599.62,644.56,0.21,1,100.0
1330,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1331,1,100.0,0,2,3,5,1,0,0,12710.25,-1340.03,0.11,100.0,0,2,2,5,3,1,0,10682.56,-3329.59,0.01,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13269.19,-2108.28,0.14,3,300.0
1331,20,90.62,0,2,3,5,4,5,0,-3355.94,15577.06,-1.54,100.0,0,3,3,5,7,4,0,2483.25,13850.19,0.06,93.71,0,2,3,11,4,4,0,-1767.25,14519.47,-1.07,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,284.33
1331,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,2,1,0,0,0,16599.62,644.56,0.21,1,100.0
1331,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1332,1,100.0,0,2,3,5,1,0,0,12646.38,-951.56,0.1,100.0,0,2,2,5,3,1,0,10682.56,-3329.59,0.01,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13269.19,-2108.28,0.14,3,300.0
1332,20,90.62,0,2,3,5,4,5,0,-3355.94,15577.06,-1.54,100.0,0,3,3,5,7,4,0,2483.25,13850.19,0.06,93.71,0,2,3,11,4,4,0,-1767.25,14519.47,-1.07,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,284.33
1332,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,2,1,0,0,0,16599.62,644.56,0.21,1,100.0
