match_id,time_sec,team_id,is_winner,P1_health,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_nade,P1_kill,P1_veh,P1_rel_x,P1_rel_y,P1_z,P2_health,P2_groggy,P2_helm,P2_vest,P2_smoke,P2_nade,P2_kill,P2_veh,P2_rel_x,P2_rel_y,P2_z,P3_health,P3_groggy,P3_helm,P3_vest,P3_smoke,P3_nade,P3_kill,P3_veh,P3_rel_x,P3_rel_y,P3_z,P4_health,P4_groggy,P4_helm,P4_vest,P4_smoke,P4_nade,P4_kill,P4_veh,P4_rel_x,P4_rel_y,P4_z,num_alive,total_health
noai.jsonl,1369,15,0,86.0,0,2,1,2,3,4,0,-541.28,6468.06,-1.06,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,86.0
noai.jsonl,1369,18,0,100.0,0,3,1,0,1,11,0,1728.03,-13897.56,0.76,100.0,0,2,1,0,0,3,0,1957.81,-14529.56,0.81,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,200.0
noai.jsonl,1369,22,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1369,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1379,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1379,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,77.0,0,2,2,2,1,1,0,6634.03,13625.0,-0.85,89.0,0,2,1,1,1,0,0,-3535.84,-11543.38,0.27,94.0,0,2,2,2,2,1,0,3142.91,5756.0,-1.42,3,260.0
noai.jsonl,1379,15,0,87.0,0,2,1,2,3,4,0,-1387.06,5557.5,-0.99,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,87.0
noai.jsonl,1379,18,0,100.0,0,3,1,0,1,11,0,1797.84,-14090.12,0.78,100.0,0,2,1,0,0,3,0,2039.16,-14434.06,0.81,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,200.0
noai.jsonl,1379,22,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1379,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1389,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1389,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,79.0,0,2,2,2,1,1,0,6674.38,13113.12,-0.82,93.0,0,2,1,1,1,0,0,-3570.28,-11478.69,0.26,97.0,0,2,2,2,2,1,0,3788.97,5509.06,-1.39,3,269.0
noai.jsonl,1389,15,0,88.0,0,2,1,2,3,4,0,-1374.09,5599.75,-1.03,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,88.0
noai.jsonl,1389,18,0,100.0,0,3,1,0,1,11,0,1492.22,-13506.56,0.81,100.0,0,2,1,0,0,3,0,1687.03,-14040.75,0.74,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,200.0
noai.jsonl,1389,22,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1389,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1399,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1399,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,81.0,0,2,2,2,1,1,0,6851.16,13564.06,-0.9,99.0,0,2,1,1,1,0,0,-3846.28,-9828.81,0.27,35.12,0,2,2,2,2,1,0,3309.06,7962.0,-1.37,3,215.12
noai.jsonl,1399,15,0,90.0,0,2,1,2,3,4,0,-1592.47,7383.06,-1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,90.0
noai.jsonl,1399,18,0,100.0,0,3,1,0,1,11,0,1095.41,-11843.31,0.8,100.0,0,2,1,0,0,3,0,1030.5,-11886.5,0.77,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,200.0
noai.jsonl,1399,22,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1399,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1409,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1409,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,83.0,0,2,2,2,1,1,0,7704.94,9743.06,-0.87,100.0,0,2,1,1,1,0,0,-4140.06,-8187.56,0.27,39.12,0,2,2,2,2,1,0,3786.22,12361.75,-1.4,3,222.12
noai.jsonl,1409,15,0,91.0,0,2,1,2,3,4,0,-1894.53,8948.75,-0.98,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,91.0
noai.jsonl,1409,18,0,100.0,0,3,1,0,1,11,0,967.31,-10211.19,0.8,100.0,0,2,1,0,0,3,0,727.72,-10237.0,0.76,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,200.0
noai.jsonl,1409,22,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1409,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1419,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1419,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,87.0,0,2,2,2,1,1,0,6212.41,6478.94,-1.56,100.0,0,2,1,1,1,0,0,-4394.97,-6560.44,0.15,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,187.0
